Group,Station,Taxa,Region,YearMin,YearMax,Yeartot,MeanCPUE,Occurrences
Fish,101,Engraulis mordax,South,1995,2020,26,264.0755156,233
Fish,102,Engraulis mordax,South,1995,2020,26,268.0781266,211
Fish,103,Engraulis mordax,South,1995,2020,26,409.4901149,192
Fish,104,Engraulis mordax,South,1995,2020,25,114.9895857,200
Fish,105,Engraulis mordax,South,1995,2020,26,161.7033152,200
Fish,106,Clupea pallasii,South,1995,2020,24,37.39942533,105
Fish,106,Engraulis mordax,South,1995,2020,25,308.2682437,178
Fish,107,Engraulis mordax,South,1995,2020,26,538.4922791,219
Fish,108,Clupea pallasii,South,1995,2018,24,22.67478091,108
Fish,108,Engraulis mordax,South,1995,2020,26,470.4008256,211
Fish,109,Clupea pallasii,Central,1995,2020,25,82.49586534,172
Fish,109,Engraulis mordax,Central,1995,2020,24,935.9652921,184
Fish,110,Clupea pallasii,Central,1995,2020,25,46.96850168,165
Fish,110,Engraulis mordax,Central,1995,2020,26,1137.064376,217
Fish,140,Engraulis mordax,South,1995,2020,26,200.4217579,239
Fish,142,Engraulis mordax,Central,1995,2020,26,395.0351654,190
Fish,211,Clupea pallasii,Central,1995,2020,24,108.4373669,141
Fish,211,Engraulis mordax,Central,1995,2020,26,1789.296939,195
Fish,212,Clupea pallasii,Central,1995,2020,24,25.92139891,104
Fish,212,Engraulis mordax,Central,1995,2020,25,230.2144489,195
Fish,213,Clupea pallasii,Central,1995,2020,24,105.9143158,108
Fish,213,Engraulis mordax,Central,1995,2020,24,1428.088146,132
Fish,214,Clupea pallasii,Central,1995,2020,23,67.94439825,134
Fish,214,Engraulis mordax,Central,1995,2020,25,1143.497472,164
Fish,215,Clupea pallasii,Central,1995,2020,24,59.14966617,118
Fish,215,Engraulis mordax,Central,1995,2020,25,952.6106783,189
Fish,216,Clupea pallasii,Central,1995,2020,24,59.50199323,135
Fish,216,Engraulis mordax,Central,1995,2020,25,1017.559175,200
Fish,243,Engraulis mordax,Central,1995,2020,26,1024.301014,187
Fish,244,Clupea pallasii,Central,1995,2020,24,36.44405272,105
Fish,244,Engraulis mordax,Central,1995,2020,26,366.9798906,175
Fish,317,Clupea pallasii,San Pablo,1995,2020,25,58.10371261,108
Fish,317,Engraulis mordax,San Pablo,1995,2020,26,379.0310193,201
Fish,318,Engraulis mordax,San Pablo,1995,2020,26,335.2932845,212
Fish,319,Engraulis mordax,San Pablo,1995,2020,26,189.7478142,174
Fish,320,Engraulis mordax,San Pablo,1995,2020,26,144.7112731,176
Fish,321,Engraulis mordax,San Pablo,1995,2020,26,147.6515265,198
Fish,322,Engraulis mordax,San Pablo,1995,2020,26,128.3761358,202
Fish,323,Engraulis mordax,San Pablo,1995,2020,26,364.851484,207
Fish,325,Engraulis mordax,San Pablo,1995,2020,26,310.1498862,218
Fish,345,Clupea pallasii,San Pablo,1995,2020,25,62.50679089,124
Fish,345,Engraulis mordax,San Pablo,1995,2020,26,826.3599534,217
Fish,346,Engraulis mordax,San Pablo,1995,2020,26,191.6835918,205
Fish,346,Morone saxatilis,San Pablo,1995,2020,25,5.683765825,136
Fish,346,Spirinchus thaleichthys,San Pablo,1995,2018,23,24.00481902,119
Fish,427,Engraulis mordax,Suisun,1995,2020,24,35.38586586,133
Fish,427,Morone saxatilis,Suisun,1995,2020,25,7.664636772,142
Fish,427,Spirinchus thaleichthys,Suisun,1995,2020,23,24.37345803,117
Fish,428,Engraulis mordax,Suisun,1995,2020,25,23.36684891,112
Fish,428,Morone saxatilis,Suisun,1995,2020,26,7.84927715,117
Fish,428,Spirinchus thaleichthys,Suisun,1995,2020,24,19.52890105,133
Fish,429,Morone saxatilis,Suisun,1995,2020,26,5.856872925,133
Fish,429,Spirinchus thaleichthys,Suisun,1995,2020,24,15.27484755,102
Fish,430,Morone saxatilis,Suisun,1995,2020,24,7.763788125,106
Fish,431,Morone saxatilis,Suisun,1995,2020,25,8.136313573,103
Fish,432,Morone saxatilis,Suisun,1995,2020,26,7.250051466,139
Fish,432,Spirinchus thaleichthys,Suisun,1995,2020,24,15.43707384,103
Fish,433,Morone saxatilis,Suisun,1995,2020,25,4.11022356,121
Fish,447,Engraulis mordax,Suisun,1995,2020,25,61.45674824,124
Fish,535,Morone saxatilis,Confluence,1995,2020,25,5.555795723,133
Fish,736,Morone saxatilis,Confluence,1995,2020,26,5.34508776,115
Fish,853,Morone saxatilis,Confluence,1995,2020,26,4.684852121,102
Zoop,NZ028,Acartiella,Suisun,1995,2021,27,297.9919608,255
Zoop,NZ028,Limnoithona,Suisun,1995,2021,27,167.6921429,266
Zoop,NZ028,Pseudodiaptomus,Suisun,1995,2021,27,948.7531802,283
Zoop,NZ032,Acartiella,Suisun,1995,2021,27,507.7305085,236
Zoop,NZ032,Eurytemora,Suisun,1995,2021,27,894.0381124,249
Zoop,NZ032,Limnoithona,Suisun,1995,2021,27,199.3924809,262
Zoop,NZ032,Pseudodiaptomus,Suisun,1995,2021,27,1164.196507,292
Zoop,NZ048,Acartiella,Suisun,1995,2021,27,427.1862343,239
Zoop,NZ048,Limnoithona,Suisun,1995,2021,27,400.8806475,278
Zoop,NZ048,Pseudodiaptomus,Suisun,1995,2021,27,501.34675,280
Zoop,NZ054,Limnoithona,Confluence,1995,2021,27,1088.782184,261
Zoop,NZ054,Pseudodiaptomus,Confluence,1995,2021,27,833.3496071,280
Zoop,NZ060,Limnoithona,Confluence,1995,2021,27,523.9973729,236
Zoop,NZ060,Pseudodiaptomus,Confluence,1995,2021,27,1159.2635,300
Zoop,NZ064,Pseudodiaptomus,Delta,1995,2021,27,1364.767289,284
Zoop,NZ064,Sinocalanus,Delta,1995,2021,27,373.5548178,247
Zoop,NZ074,Pseudodiaptomus,Confluence,1995,2021,27,1842.448247,291
Zoop,NZ086,Bosmina,Delta,1995,2021,27,193.9630065,306
Zoop,NZ086,Pseudodiaptomus,Delta,1995,2021,27,3875.974854,309
Zoop,NZ086,Sinocalanus,Delta,1995,2021,27,163.9287072,263
Zoop,NZ092,Bosmina,Delta,1995,2021,27,2960.211818,308
Zoop,NZ092,Daphnia,Delta,1995,2021,27,993.1938567,293
Zoop,NZ092,Eurytemora,Delta,1995,2021,27,1208.394308,260
Zoop,NZ092,Pseudodiaptomus,Delta,1995,2021,27,5728.683586,290
Zoop,NZD06,Acartia,Suisun,1995,2021,27,1089.478195,277
Zoop,NZD06,Oithona,Suisun,1995,2021,27,670.4345055,273
Zoop,NZD06,Pseudodiaptomus,Suisun,1995,2021,27,282.4437415,294
Zoop,NZD06,Tortanus,Suisun,1995,2021,27,180.2930116,259
Zoop,NZD16,Bosmina,Delta,1995,2021,27,146.9246179,301
Zoop,NZD16,Pseudodiaptomus,Delta,1995,2021,27,3302.992298,309
Zoop,NZD16,Sinocalanus,Delta,1995,2021,27,264.9585821,268
Zoop,NZD28,Bosmina,Delta,1995,2021,27,118.3569463,298
Zoop,NZD28,Daphnia,Delta,1995,2021,27,115.9725,244
Zoop,NZD28,Eurytemora,Delta,1995,2021,27,343.7610656,244
Zoop,NZD28,Pseudodiaptomus,Delta,1995,2021,27,3404.422848,302
Zoop,NZD28,Sinocalanus,Delta,1995,2021,27,166.1759124,274
Zoop,NZD41,Acartia,San Pablo,1998,2021,24,3328.010582,275
Zoop,NZD41,Oithona,San Pablo,1998,2021,24,2020.393792,269
Zoop,NZD41,Pseudodiaptomus,San Pablo,1998,2021,24,610.6718288,257
Zoop,NZEZ2,Pseudodiaptomus,Confluence,1995,2021,27,1871.911864,236
Zoop,NZM10,Bosmina,Delta,1995,2021,27,1672.338426,305
Zoop,NZM10,Eurytemora,Delta,1995,2021,27,2246.243226,279
Zoop,NZM10,Pseudodiaptomus,Delta,1995,2021,27,9379.884373,311
Zoop,NZS42,Eurytemora,Suisun,1995,2021,27,1411.957955,269
Zoop,NZS42,Limnoithona,Suisun,1995,2021,27,107.8846275,255
Zoop,NZS42,Pseudodiaptomus,Suisun,1995,2021,27,974.5019454,293
